PRODUCE,COST PER POUND,POUNDS SOLD
Red onion,0.78,26
Apples,1.88,36.3
Celery,3.07,27.1
Tomatoes,3.16,30.1
Lettuce,1.88,31.2
Apples,1.88,36.2
Yellow peppers,2.87,1
Orange,1.09,27.1
Strawberries,4.4,23.6
Spinach,4.12,6.4
Eggplant,2.32,18.5
Tomatoes,3.16,9.5
Grapefruit,0.76,5.7
Daikon,1.4,34.7
Eggplant,2.32,2.8
Corn,1.07,3.1
Papaya,1.34,33.1
Cucumber,1.07,15.6
Green beans,2.52,0.5
Lime,1.06,28.4
Strawberries,4.4,3.3
Green beans,2.52,11.1
Coconuts,1.18,10.8
Carrots,1.26,4.7
Carrots,1.26,30.4
Kale,5.02,12.7
Yellow peppers,2.87,16.3
Yellow peppers,2.87,25.6
Grapefruit,0.76,36.7
Fava beans,2.69,12.4
Orange,1.09,19.3
Asparagus,2.49,31.1
Kale,5.02,30.1
Lemon,1.29,38.4
Cherries,9.5,24.2
Bananas,0.86,30.7
Tomatoes,3.16,36.3
Apples,1.88,16.9
Papaya,1.34,26.5
Fava beans,2.69,23.7
Green cabbage,0.8,1.1
Asparagus,2.49,22
Cucumber,1.07,18.2
Brussels sprouts,1.65,11
Grapes,2.63,31.6
Strawberries,4.4,4
Parsnips,2.27,10.8
Eggplant,2.32,5.5
Daikon,1.4,27.2
Bananas,0.86,39.2
Potatoes,0.86,16.9
Bok choy,1.42,11.9
Tomatoes,3.16,11.3
Strawberries,4.4,19.5
Yellow peppers,2.87,12.9
Celery,3.07,29.2
Corn,1.07,2.3
Papaya,1.34,9.8
Potatoes,0.86,16.2
Watermelon,0.66,38.1
Strawberries,4.4,24.1
Corn,1.07,6.6
Green beans,2.52,39.7
Cherries,9.5,26.1
Yellow peppers,2.87,34.2
Grapes,2.63,5.2
Eggplant,2.32,37.9
Fava beans,2.69,0.8
Apples,1.88,21.9
Green cabbage,0.8,10
Green beans,2.52,15.5
Corn,1.07,33.2
Green beans,2.52,36.6
Asparagus,2.49,15
Okra,2.26,26.7
Carrots,1.26,20.4
Papaya,1.34,9.8
Corn,1.07,18.6
Ginger,5.13,33.1
Beets,1.51,17
Red onion,0.78,6.6
Carrots,1.26,31
Apples,1.88,36.6
Corn,1.07,4.7
Lettuce,1.88,1.8
Tomatoes,3.16,39.1
Cucumber,1.07,19.4
Papaya,1.34,12.5
Potatoes,0.86,34.1
Green beans,2.52,17.4
Lime,1.06,38.3
Eggplant,2.32,36.3
Lettuce,1.88,13.8
Lime,1.06,11.7
Apricots,3.71,16.3
Beets,1.51,36.3
Parsnips,2.27,20.7
Asparagus,2.49,1.8
Tomatoes,3.16,26.7
Carrots,1.26,14.4
Avocados,3.23,18.5
Eggplant,2.32,40
Parsnips,2.27,38.6
Beets,1.51,12.4
Avocados,3.23,9.7
Spinach,4.12,1.5
Spinach,4.12,38.8
Cucumber,1.07,16
Grapefruit,0.76,28.9
Corn,1.07,14.6
Lettuce,1.88,24.6
Orange,1.09,35.8
Grapes,2.63,21.4
Cucumber,1.07,27.3
Grapes,2.63,7.9
Grapefruit,0.76,5.2
Papaya,1.34,29.4
Kale,5.02,12.6
Apricots,3.71,10.3
Butternut squash,1.28,34.6
Strawberries,4.4,14.1
Carrots,1.26,0.9
Tomatoes,3.16,2.3
Daikon,1.4,31.8
Butternut squash,1.28,22.8
Bok choy,1.42,40
Fava beans,2.69,20.3
Cucumber,1.07,0.9
Coconuts,1.18,32.1
Lime,1.06,22.6
Orange,1.09,13.4
Corn,1.07,17.1
Red onion,0.78,33.7
Potatoes,0.86,19.5
Cucumber,1.07,36.2
Lettuce,1.88,25.6
Bok choy,1.42,32.5
Garlic,1.19,15.7
Fava beans,2.69,27.2
Brussels sprouts,1.65,16.3
Tomatoes,3.16,40
Carrots,1.26,12.3
Bananas,0.86,6.7
Parsnips,2.27,7.8
Garlic,1.19,11.3
Green cabbage,0.8,33.3
Orange,1.09,19.5
Fava beans,2.69,9.6
Apples,1.88,33.2
Ginger,5.13,21.7
Cherries,9.5,2.3
Kale,5.02,2.5
Apples,1.88,30
Lemon,1.29,1.6
Lime,1.06,18.9
Cucumber,1.07,22.6
Grapes,2.63,26.8
Kale,5.02,39
Celery,3.07,16.6
Tomatoes,3.16,20.8
Yellow peppers,2.87,10.8
Cherries,9.5,15.7
Lime,1.06,32.7
Green peppers,1.89,23.1
Parsnips,2.27,26.3
Eggplant,2.32,33.7
Beets,1.51,27.3
Okra,2.26,8
Red onion,0.78,1.7
Carrots,1.26,1
Strawberries,4.4,38.2
Carrots,1.26,23.3
Potatoes,0.86,3.9
Parsnips,2.27,12.5
Green peppers,1.89,4.4
Watermelon,0.66,24
Butternut squash,1.28,11.2
Strawberries,4.4,4.7
Okra,2.26,8.7
Bok choy,1.42,5.6
Lettuce,1.88,37.2
Bananas,0.86,9.5
Garlic,1.19,16.5
Brussels sprouts,1.65,37
Yellow peppers,2.87,26
Strawberries,4.4,16.8
Lime,1.06,1.1
Lettuce,1.88,29.2
Kale,5.02,7.6
Potatoes,0.86,22.5
Grapes,2.63,3.5
Kale,5.02,36.6
Grapefruit,0.76,8.5
Orange,1.09,10.9
Lettuce,1.88,27.8
Fava beans,2.69,34.8
Bok choy,1.42,2
Tomatoes,3.16,5.9
Cucumber,1.07,20
Green beans,2.52,1.8
Watermelon,0.66,33.6
Corn,1.07,21.6
Green beans,2.52,25.3
Green beans,2.52,23.4
Yellow peppers,2.87,21.3
Grapes,2.63,2.2
Brussels sprouts,1.65,16.4
Grapefruit,0.76,6.4
Eggplant,2.32,0.5
Eggplant,2.32,22.3
Green beans,2.52,26.6
Watermelon,0.66,18.5
Green cabbage,0.8,29.5
Celery,3.07,40
Coconuts,1.18,36.1
Bananas,0.86,20.9
Brussels sprouts,1.65,22.1
Garlic,1.19,3.9
Watermelon,0.66,28.8
Fava beans,2.69,16.5
Potatoes,0.86,16.2
Grapefruit,0.76,32.8
Avocados,3.23,20.5
Lemon,1.29,2.2
Kale,5.02,27.6
Cherries,9.5,4.3
Garlic,1.19,10.4
Brussels sprouts,1.65,9
Strawberries,4.4,8.8
Bok choy,1.42,8.6
Kale,5.02,37
Potatoes,0.86,23.7
Fava beans,2.69,10.9
Watermelon,0.66,33.4
Avocados,3.23,22.3
Brussels sprouts,1.65,19.8
Okra,2.26,8.6
Parsnips,2.27,36.2
Apricots,3.71,39.4
Cherries,9.5,9.8
Potatoes,0.86,16.6
Grapefruit,0.76,4.8
Watermelon,0.66,7.8
Papaya,1.34,31.2
Eggplant,2.32,35.5
Celery,3.07,32.4
Avocados,3.23,18.1
Apricots,3.71,23.5
Corn,1.07,29.9
Brussels sprouts,1.65,12.1
Orange,1.09,33.2
Brussels sprouts,1.65,21.1
Garlic,1.19,29.6
Parsnips,2.27,1.5
Watermelon,0.66,5.4
Lime,1.06,35.6
Corn,1.07,18.9
Asparagus,2.49,12.7
Cucumber,1.07,27.6
Daikon,1.4,39.6
Spinach,4.12,3.1
Apples,1.88,10
Beets,1.51,13.5
Beets,1.51,17.1
Garlic,1.19,26.3
Carrots,1.26,21.3
Eggplant,2.32,30.5
Cucumber,1.07,16.7
Apricots,3.71,22
Red onion,0.78,36
Bok choy,1.42,24
Fava beans,2.69,39
Garlic,1.19,33
Garlic,1.19,9.6
Garlic,1.19,18.3
Kale,5.02,16.1
Carrots,1.26,25.8
Parsnips,2.27,29.6
Fava beans,2.69,30
Kale,5.02,24
Garlic,1.19,22.4
Papaya,1.34,39.7
Fava beans,2.69,36.2
Bok choy,1.42,23.6
Watermelon,0.66,20.4
Ginger,5.13,29.8
Asparagus,2.49,37.1
Fava beans,2.69,23.5
Grapes,2.63,23.7
Spinach,4.12,23.3
Avocados,3.23,13.4
Butternut squash,1.28,27.3
Corn,1.07,32
Spinach,4.12,34.4
Grapes,2.63,23.5
Corn,1.07,5.4
Celery,3.07,5.8
Coconuts,1.18,4.5
Eggplant,2.32,17.2
Spinach,4.12,3.2
Kale,5.02,1.8
Eggplant,2.32,12.8
Beets,1.51,11.5
Ginger,5.13,38.9
Tomatoes,3.16,7.3
Kale,5.02,5.1
Brussels sprouts,1.65,37.5
Ginger,5.13,7.3
Carrots,1.26,22.1
Parsnips,2.27,23.4
Bananas,0.86,4.5
Fava beans,2.69,21.5
Celery,3.07,37.4
Strawberries,4.4,26.5
Grapes,2.63,37.7
Celery,3.07,2.4
Green peppers,1.89,3.2
Green cabbage,0.8,6.1
Tomatoes,3.16,24.1
Okra,2.26,30.5
Okra,2.26,39.5
Orange,1.09,19.5
Green peppers,1.89,2.5
Eggplant,2.32,32
Spinach,4.12,26.4
Apricots,3.71,24.7
Garlic,1.19,8
Bananas,0.86,10.2
Yellow peppers,2.87,19.9
Asparagus,2.49,39.7
Papaya,1.34,11.1
Parsnips,2.27,37
Fava beans,2.69,9.6
Parsnips,2.27,9.4
Brussels sprouts,1.65,6.4
Papaya,1.34,35.7
Tomatoes,3.16,2.8
Beets,1.51,38.1
Asparagus,2.49,19.9
Green peppers,1.89,24
Apricots,3.71,13.3
Apples,1.88,33.5
Brussels sprouts,1.65,24.7
Eggplant,2.32,29.2
Eggplant,2.32,4.3
Lemon,1.29,25.4
Fava beans,2.69,25.2
Daikon,1.4,7.3
Celery,3.07,37.9
Brussels sprouts,1.65,19
Green cabbage,0.8,18.7
Okra,2.26,3.5
Ginger,5.13,39
Brussels sprouts,1.65,34.3
Potatoes,0.86,32.2
Okra,2.26,18.5
Green cabbage,0.8,3
Apples,1.88,36.9
Brussels sprouts,1.65,12.1
Papaya,1.34,36.6
Lettuce,1.88,7.8
Cucumber,1.07,12.7
Okra,2.26,19.1
Potatoes,0.86,11.8
Grapefruit,0.76,9.1
Garlic,1.19,11.7
Eggplant,2.32,12.8
Okra,2.26,24.1
Bananas,0.86,9.1
Lime,1.06,3.9
Lettuce,1.88,14.1
Butternut squash,1.28,9
Daikon,1.4,26
Potatoes,0.86,7.1
Cherries,9.5,2
Celery,3.07,38.2
Butternut squash,1.28,13.8
Corn,1.07,29.8
Beets,1.51,28.3
Apricots,3.71,2.5
Red onion,0.78,25.8
Ginger,5.13,31.3
Spinach,4.12,27.1
Carrots,1.26,12.7
Papaya,1.34,7.7
Grapes,2.63,28.3
Asparagus,2.49,39.2
Eggplant,2.32,14.5
Coconuts,1.18,1.6
Apricots,3.71,30.1
Asparagus,2.49,13.8
Coconuts,1.18,18.1
Lime,1.06,3.5
Parsnips,2.27,0.8
Cucumber,1.07,0.8
Strawberries,4.4,30.9
Asparagus,2.49,4.7
Lime,1.06,27.4
Brussels sprouts,1.65,24.9
Coconuts,1.18,3.7
Cherries,9.5,28.8
Coconuts,1.18,10.4
Orange,1.09,13.9
Tomatoes,3.16,19.1
Apricots,3.71,9.6
Yellow peppers,2.87,35.5
Green cabbage,0.8,13.8
Daikon,1.4,35.8
Carrots,1.26,24
Papaya,1.34,34.9
Bananas,0.86,13.9
Grapes,2.63,36.6
Spinach,4.12,21.1
Green cabbage,0.8,31.5
Daikon,1.4,27.4
Red onion,0.78,5.1
Lettuce,1.88,15.2
Parsnips,2.27,29.2
Brussels sprouts,1.65,24
Tomatoes,3.16,29
Ginger,5.13,2.4
Avocados,3.23,24.7
Bananas,0.86,16.9
Lemon,1.29,39.3
Asparagus,2.49,5.5
Coconuts,1.18,11.4
Cucumber,1.07,4.1
Lime,1.06,25.7
Cherries,9.5,33.9
Grapefruit,0.76,11.8
Asparagus,2.49,20.3
Coconuts,1.18,14.8
Bananas,0.86,35.5
Celery,3.07,36.9
Green peppers,1.89,37.2
Cherries,9.5,29
Lemon,1.29,25.5
Avocados,3.23,8.5
Grapes,2.63,15.7
Garlic,1.19,1.9
Lime,1.06,15.6
Butternut squash,1.28,10.8
Daikon,1.4,31
Green beans,2.52,4.9
Red onion,0.78,26.6
Bananas,0.86,34.8
Orange,1.09,21.6
Daikon,1.4,10.6
Papaya,1.34,37
Fava beans,2.69,7.6
Lemon,1.29,32
Asparagus,2.49,39.6
Celery,3.07,19.5
Ginger,5.13,10.7
Apricots,3.71,17.9
Yellow peppers,2.87,4.6
Beets,1.51,34.5
Lettuce,1.88,11.9
Ginger,5.13,18.1
Celery,3.07,36.1
Grapes,2.63,3.9
Beets,1.51,35.7
Tomatoes,3.16,15.7
Avocados,3.23,24.1
Green peppers,1.89,34.8
Kale,5.02,10.8
Grapes,2.63,23.8
Lime,1.06,21.7
Garlic,1.19,23.5
Okra,2.26,14.2
Beets,1.51,1.9
Ginger,5.13,0.5
Bok choy,1.42,4.1
Daikon,1.4,19.4
Lettuce,1.88,13.3
Corn,1.07,13.4
Daikon,1.4,37.8
Green cabbage,0.8,38.1
Cucumber,1.07,12.1
Tomatoes,3.16,36.7
Celery,3.07,27.3
Avocados,3.23,25.4
Red onion,0.78,14.6
Beets,1.51,10.7
Carrots,1.26,9.3
Butternut squash,1.28,18.4
Coconuts,1.18,21
Lemon,1.29,16.2
Yellow peppers,2.87,35.4
Lettuce,1.88,32
Bananas,0.86,19
Celery,3.07,27
Watermelon,0.66,36.7
Daikon,1.4,6.3
Grapes,2.63,16.2
Lemon,1.29,11.2
Strawberries,4.4,13.1
Green cabbage,0.8,3.7
Green beans,2.52,7.8
Kale,5.02,35.2
Lime,1.06,8.7
Papaya,1.34,2.1
Yellow peppers,2.87,9.7
Eggplant,2.32,15
Apples,1.88,13.4
Spinach,4.12,26.1
Brussels sprouts,1.65,20.1
Grapefruit,0.76,22.7
Garlic,1.19,13
Asparagus,2.49,10.3
Carrots,1.26,37.7
Daikon,1.4,39.2
Okra,2.26,13.3
Strawberries,4.4,10
Green peppers,1.89,14
Okra,2.26,4.5
Celery,3.07,13.1
Green peppers,1.89,24.2
Green peppers,1.89,31
Orange,1.09,12.7
Garlic,1.19,25.4
Daikon,1.4,31.8
Parsnips,2.27,32.3
Coconuts,1.18,3.1
Red onion,0.78,11
Lettuce,1.88,25.4
Lettuce,1.88,30.4
Potatoes,0.86,24.3
Asparagus,2.49,29.4
Eggplant,2.32,9.6
Corn,1.07,21.5
Cucumber,1.07,17.1
Green beans,2.52,25.4
Orange,1.09,37.4
Yellow peppers,2.87,24.9
Carrots,1.26,22.2
Bananas,0.86,34.1
Fava beans,2.69,0.7
Grapefruit,0.76,28.5
Green peppers,1.89,37
Watermelon,0.66,30.4
Celery,3.07,36.6
Strawberries,4.4,5.5
Green beans,2.52,40
Red onion,0.78,33
Garlic,1.19,20
Lemon,1.29,14.1
Green peppers,1.89,23
Strawberries,4.4,28.7
Spinach,4.12,5.7
Lime,1.06,5
Corn,1.07,30.7
Green beans,2.52,8.1
Papaya,1.34,20.8
Green beans,2.52,35.9
Spinach,4.12,25.1
Avocados,3.23,15.4
Lime,1.06,36.2
Papaya,1.34,7.1
Daikon,1.4,9.2
Daikon,1.4,28.2
Apples,1.88,33.7
Bananas,0.86,6.4
Watermelon,0.66,23.4
Grapes,2.63,17.6
Apples,1.88,4.5
Green peppers,1.89,4.3
Avocados,3.23,31.2
Papaya,1.34,8.6
Yellow peppers,2.87,37.5
Bananas,0.86,33.4
Eggplant,2.32,3.7
Fava beans,2.69,21.9
Parsnips,2.27,7.4
Asparagus,2.49,11.1
Lime,1.06,38.2
Papaya,1.34,29.1
Bok choy,1.42,13.4
Watermelon,0.66,24.3
Ginger,5.13,34.7
Spinach,4.12,23.1
Grapefruit,0.76,35.7
Spinach,4.12,25.1
Okra,2.26,8.3
Fava beans,2.69,24.2
Celery,3.07,27.1
Okra,2.26,28.8
Bananas,0.86,24.9
Brussels sprouts,1.65,1.4
Garlic,1.19,16.8
Tomatoes,3.16,9.1
Garlic,1.19,1.4
Fava beans,2.69,9.7
Corn,1.07,23.8
Watermelon,0.66,25.6
Lime,1.06,16.3
Parsnips,2.27,15.6
Cherries,9.5,0.5
Papaya,1.34,24.1
Brussels sprouts,1.65,7
Apricots,3.71,8.5
Grapes,2.63,31.4
Beets,1.51,17.4
Okra,2.26,0.9
Cherries,9.5,38
Parsnips,2.27,2.3
Red onion,0.78,34.9
Eggplant,2.32,33
Brussels sprouts,1.65,3.3
Green beans,2.52,30.9
Papaya,1.34,32.8
Tomatoes,3.16,16.2
Cucumber,1.07,37.2
Beets,1.51,11.3
Celery,3.07,4.8
Lemon,1.29,39.1
Okra,2.26,16
Bananas,0.86,20.2
Grapefruit,0.76,38.4
Strawberries,4.4,13.3
Asparagus,2.49,28.9
Ginger,5.13,39.7
Lemon,1.29,8
Apples,1.88,20.4
Kale,5.02,16
Coconuts,1.18,37.9
Celery,3.07,31
Bok choy,1.42,26.6
Beets,1.51,18.4
Bananas,0.86,5.9
Tomatoes,3.16,9.5
Eggplant,2.32,2.6
Avocados,3.23,11.2
Asparagus,2.49,21.3
Watermelon,0.66,4.3
Papaya,1.34,29.4
Lime,1.06,29
Bananas,0.86,33.8
Okra,2.26,11.9
Daikon,1.4,0.5
Ginger,5.13,25.6
Bok choy,1.42,23.3
Celery,3.07,1.3
Asparagus,2.49,31
Grapes,2.63,25.4
Cherries,9.5,10
Grapefruit,0.76,31.5
Bok choy,1.42,22.1
Butternut squash,1.28,17.8
Butternut squash,1.28,22.8
Green peppers,1.89,25.4
Garlic,1.19,10.2
Tomatoes,3.16,15.2
Tomatoes,3.16,7.2
Coconuts,1.18,5.7
Daikon,1.4,10.1
Parsnips,2.27,1.4
Grapes,2.63,35.5
Red onion,0.78,7.6
Red onion,0.78,16.8
Lime,1.06,20.2
Potatoes,0.86,7.4
Papaya,1.34,29.6
Butternut squash,1.28,34.7
Parsnips,2.27,34.1
Potatoes,0.86,36.7
Kale,5.02,5.9
Papaya,1.34,31.7
Celery,3.07,27.3
Okra,2.26,15.2
Strawberries,4.4,7.8
Carrots,1.26,38.9
Lime,1.06,30.5
Carrots,1.26,3.5
Garlic,1.19,33.2
Celery,3.07,39
Brussels sprouts,1.65,1.1
Watermelon,0.66,9.3
Celery,3.07,9.7
Garlic,1.19,2.9
Okra,2.26,18.4
Lime,1.06,16.4
Butternut squash,1.28,16.1
Lemon,1.29,20.9
Green beans,2.52,37.4
Bok choy,1.42,36.6
Strawberries,4.4,19.3
Celery,3.07,8.8
Lettuce,1.88,5.4
Green peppers,1.89,39.4
Strawberries,4.4,23.2
Lime,1.06,38.7
Red onion,0.78,30.2
Lettuce,1.88,7.5
Daikon,1.4,23.6
Ginger,5.13,24.7
Corn,1.07,11.8
Kale,5.02,10
Apples,1.88,11.4
Spinach,4.12,3.4
Garlic,1.19,8
Grapefruit,0.76,23.5
Green beans,2.52,18.5
Eggplant,2.32,3.3
Apples,1.88,31.9
Okra,2.26,28.9
Parsnips,2.27,2.9
Bananas,0.86,13.7
Apricots,3.71,33.9
Bok choy,1.42,10.2
Apricots,3.71,20.5
Carrots,1.26,38.6
Avocados,3.23,35.5
Lemon,1.29,34.1
Parsnips,2.27,37.1
Orange,1.09,39.7
Strawberries,4.4,15.2
Grapefruit,0.76,2.9
Parsnips,2.27,21.5
Lettuce,1.88,13.3
Daikon,1.4,21.9
Tomatoes,3.16,5.8
Coconuts,1.18,30.8
Grapefruit,0.76,8
Avocados,3.23,25.3
Asparagus,2.49,9.9
Eggplant,2.32,16.4
Yellow peppers,2.87,9.1
Apricots,3.71,11.1
Green peppers,1.89,6.6
Green peppers,1.89,20.1
Potatoes,0.86,12.3
Strawberries,4.4,35.7
Yellow peppers,2.87,8.8
Apricots,3.71,18.3
Bananas,0.86,31.3
Potatoes,0.86,14.1
Butternut squash,1.28,25.3
Asparagus,2.49,34.4
Carrots,1.26,36.5
Green peppers,1.89,37.2
Beets,1.51,22.9
Papaya,1.34,32.5
Cherries,9.5,28.9
Asparagus,2.49,39.1
Lime,1.06,30.9
Lime,1.06,21.6
Daikon,1.4,24.7
Lemon,1.29,2.6
Corn,1.07,16.9
Watermelon,0.66,8.6
Green cabbage,0.8,30.5
Orange,1.09,16.2
Yellow peppers,2.87,37.4
Coconuts,1.18,38.7
Brussels sprouts,1.65,15.3
Cucumber,1.07,15.8
Ginger,5.13,29.7
Bananas,0.86,16.7
Lettuce,1.88,11.3
Red onion,0.78,22.6
Ginger,5.13,36.9
Cherries,9.5,8.9
Papaya,1.34,33.2
Grapefruit,0.76,21.3
Beets,1.51,18
Yellow peppers,2.87,30.8
Brussels sprouts,1.65,23.1
Eggplant,2.32,11
Grapes,2.63,9.8
Asparagus,2.49,8.7
Eggplant,2.32,0.9
Beets,1.51,1.7
Carrots,1.26,0.9
Red onion,0.78,29.9
Fava beans,2.69,25.6
Eggplant,2.32,32.3
Ginger,5.13,20.7
Beets,1.51,39.1
Potatoes,0.86,27
Eggplant,2.32,22.9
Lettuce,1.88,6.7
Green cabbage,0.8,28.6
Yellow peppers,2.87,19.4
Green cabbage,0.8,17.9
Garlic,1.19,15.8
Parsnips,2.27,11.9
Ginger,5.13,27.9
Okra,2.26,31.1
Lime,1.06,32.3
Okra,2.26,24.4
Kale,5.02,19.7
Potatoes,0.86,30.8
Papaya,1.34,33.1
Papaya,1.34,26.6
Bok choy,1.42,18.5
Green beans,2.52,8.4
Avocados,3.23,36.7
Kale,5.02,23.7
Yellow peppers,2.87,24
Green peppers,1.89,9.4
Green peppers,1.89,16.4
Lemon,1.29,30
Lettuce,1.88,30.6
Potatoes,0.86,21.1
Asparagus,2.49,18.3
Lime,1.06,19.8
Green cabbage,0.8,1
Watermelon,0.66,9.6
Apricots,3.71,13
Grapes,2.63,26.6
Green cabbage,0.8,3.3
Green cabbage,0.8,27.3
Carrots,1.26,11.8
Lime,1.06,19.8
Watermelon,0.66,3.6
Apples,1.88,31.7
Fava beans,2.69,9
Yellow peppers,2.87,23.6
Green beans,2.52,25.9
Cucumber,1.07,26.5
Potatoes,0.86,39.2
Lettuce,1.88,12.1
Grapefruit,0.76,39.5
Ginger,5.13,30.1
Parsnips,2.27,20.9
Avocados,3.23,24.1
Grapefruit,0.76,18.5
Avocados,3.23,7.7
Lettuce,1.88,32.1
Spinach,4.12,5.7
Green beans,2.52,14.6
Cherries,9.5,17.5
Green beans,2.52,21.8
Butternut squash,1.28,38.8
Green cabbage,0.8,37
Carrots,1.26,33.3
Ginger,5.13,23.3
Bok choy,1.42,5.1
Grapes,2.63,25.4
Strawberries,4.4,14.3
Cherries,9.5,28
Carrots,1.26,27.4
Apples,1.88,18.6
Red onion,0.78,17.6
Carrots,1.26,29.6
Bok choy,1.42,20.2
Spinach,4.12,33
Green peppers,1.89,18.3
Celery,3.07,21.2
Lemon,1.29,7.5
Ginger,5.13,15.9
Strawberries,4.4,13
Avocados,3.23,22.8
Green peppers,1.89,28.3
Spinach,4.12,18.5
Green peppers,1.89,14.2
Okra,2.26,24.3
Ginger,5.13,18.9
Avocados,3.23,27.8
Lettuce,1.88,7.4
Spinach,4.12,27.6
Kale,5.02,8.7
Apricots,3.71,28.4
Papaya,1.34,11.4
Red onion,0.78,28.5
Apricots,3.71,36.9
Potatoes,0.86,29.5
Yellow peppers,2.87,6.6
Daikon,1.4,6.4
Apricots,3.71,20.7
Green peppers,1.89,8.4
Grapes,2.63,28.7
Celery,3.07,19.3
Fava beans,2.69,26.7
Coconuts,1.18,27.2
Butternut squash,1.28,22
Spinach,4.12,23.7
Carrots,1.26,2.5
Brussels sprouts,1.65,26.8
Beets,1.51,22.8
Cherries,9.5,6.6
Grapes,2.63,14.2
Red onion,0.78,24.4
Avocados,3.23,25.4
Grapes,2.63,3.7
Lettuce,1.88,27
Spinach,4.12,7.2
Watermelon,0.66,21.7
Okra,2.26,24.4
Kale,5.02,19.5
Cherries,9.5,39.6
Eggplant,2.32,9.1
Fava beans,2.69,23.4
Green cabbage,0.8,8.4
Bananas,0.86,2.5
Yellow peppers,2.87,4.7
Yellow peppers,2.87,14.2
Brussels sprouts,1.65,21.4
Okra,2.26,24.3
Potatoes,0.86,29.5
Daikon,1.4,15.2
Kale,5.02,9.6
Strawberries,4.4,4.7
Green cabbage,0.8,27.5
Bok choy,1.42,24.1
Spinach,4.12,9.9
Okra,2.26,23.7
Ginger,5.13,22.9
Corn,1.07,24.5
Grapes,2.63,18.4
Okra,2.26,7.3
Orange,1.09,39
Apricots,3.71,28
Cucumber,1.07,32.9
Fava beans,2.69,28.7
Bok choy,1.42,30.4
Ginger,5.13,26.5
Watermelon,0.66,1.8
Red onion,0.78,18.1
Parsnips,2.27,5.8
Tomatoes,3.16,30
Corn,1.07,3
Cherries,9.5,32.4
Lime,1.06,32.1
Lemon,1.29,4.6
Potatoes,0.86,12.9
Watermelon,0.66,10
Green cabbage,0.8,15.3
Cherries,9.5,4
Yellow peppers,2.87,21.9
Daikon,1.4,15.3
Yellow peppers,2.87,31.5
Yellow peppers,2.87,17.2
Coconuts,1.18,32
Tomatoes,3.16,17.5
Grapefruit,0.76,12.8
Lettuce,1.88,31.2
Bok choy,1.42,28.2
Avocados,3.23,38.6
Apples,1.88,30.2
Potatoes,0.86,19.1
Green cabbage,0.8,2.6
Green beans,2.52,9
Eggplant,2.32,21.7
Red onion,0.78,36.4
Coconuts,1.18,24
Butternut squash,1.28,37.8
Papaya,1.34,13.1
Ginger,5.13,27.3
Avocados,3.23,7.4
Coconuts,1.18,17.9
Carrots,1.26,16.5
Beets,1.51,31.2
Red onion,0.78,24.7
Celery,3.07,18.9
Okra,2.26,30.8
Orange,1.09,39
Orange,1.09,8.2
Lime,1.06,22.5
Ginger,5.13,15.4
Lettuce,1.88,11.7
Okra,2.26,35.9
Apples,1.88,8.8
Red onion,0.78,12.3
Okra,2.26,24.1
Carrots,1.26,37.8
Brussels sprouts,1.65,14.4
Ginger,5.13,25.2
Brussels sprouts,1.65,37.3
Cucumber,1.07,17.8
Yellow peppers,2.87,39
Grapes,2.63,34.3
Asparagus,2.49,2.8
Carrots,1.26,30.5
Lettuce,1.88,22.3
Green beans,2.52,33
Green peppers,1.89,19.9
Okra,2.26,14.2
Bok choy,1.42,21.6
Green beans,2.52,20
Red onion,0.78,6.6
Cherries,9.5,23.7
Green cabbage,0.8,15.5
Watermelon,0.66,3.8
Yellow peppers,2.87,17.6
Green cabbage,0.8,28.4
Green peppers,1.89,28
Papaya,1.34,26.3
Potatoes,0.86,19.4
Green peppers,1.89,16.8
Carrots,1.26,40
Fava beans,2.69,11.7
Cherries,9.5,6.8
Green beans,2.52,10.4
Avocados,3.23,6.7
Lime,1.06,34.2
Spinach,4.12,28.2
Carrots,1.26,15.4
Red onion,0.78,6
Strawberries,4.4,37.6
Cucumber,1.07,6.8
Celery,3.07,8.2
Apricots,3.71,22.1
Asparagus,2.49,25.9
Cherries,9.5,3.2
Grapefruit,0.76,7.1
Avocados,3.23,32.4
Avocados,3.23,2.3
Cherries,9.5,12.7
Yellow peppers,2.87,36.2
Coconuts,1.18,14.3
Bananas,0.86,33.2
Carrots,1.26,35.5
Avocados,3.23,1.9
Okra,2.26,2
Garlic,1.19,39.8
Green beans,2.52,31.9
Spinach,4.12,29.1
Potatoes,0.86,10.1
Strawberries,4.4,10.5
Apples,1.88,19
Bok choy,1.42,29.5
Apples,1.88,18.5
Eggplant,2.32,31.4
Carrots,1.26,35.9
Apples,1.88,15.2
Parsnips,2.27,19.1
Cucumber,1.07,9.6
Apricots,3.71,19.4
Avocados,3.23,28.6
Tomatoes,3.16,35.6
Bananas,0.86,17.4
Potatoes,0.86,24.1
Red onion,0.78,20.7
Beets,1.51,10.9
Green beans,2.52,8.3
Green cabbage,0.8,22.5
Bok choy,1.42,38.3
Apples,1.88,16.8
Spinach,4.12,35.5
Lemon,1.29,7.3
Lemon,1.29,6.7
Green beans,2.52,7.4
Bananas,0.86,6.9
Daikon,1.4,7.7
Apples,1.88,0.9
Eggplant,2.32,22.3
Lemon,1.29,24.5
Avocados,3.23,5.1
Eggplant,2.32,28.2
Ginger,5.13,32.6
Lemon,1.29,29.4
Apricots,3.71,25.1
